Signatures,Stability (Avg Silhouette),Minimum Stability,Considerable Solution,P-value,Matrix Frobenius%,Mean Sample L1%,Maximum Sample L1%,Mean Sample L2%,Maximum Sample L2%,Mean Sample KL,Maximum Sample KL,Mean Cosine Distance,Max Cosine Distance,Mean Correlation,Minimum Correlation
1,1.0,1.0,NO,N/A,7913.0%,103.24%,190.09%,81.2%,123.3,0.9198,3.2509,0.349,0.896,0.531,-0.061
2,0.96,0.95,NO,N/A,6670.0%,93.98%,188.24%,67.83%,102.16,0.7948,2.9483,0.247,0.854,0.659,-0.049
3,1.0,1.0,YES,2.31e-13,1790.0%,92.52%,188.21%,65.64%,102.2,0.7765,2.9492,0.23,0.854,0.683,-0.049
4*,0.98,0.94,YES,2.01e-01,1574.0%,87.29%,181.51%,61.12%,95.74,0.7566,2.4885,0.214,0.71,0.695,0.098
5,0.86,0.51,YES,Most Stab Sigs,1303.0%,85.24%,180.33%,60.46%,95.4,0.7502,2.438,0.209,0.699,0.704,0.102
6,0.71,0.22,NO,N/A,1537.0%,83.24%,179.91%,58.1%,95.59,0.7212,2.4931,0.194,0.703,0.724,0.123
7,0.74,0.25,NO,N/A,1404.0%,81.51%,178.5%,57.36%,95.17,0.7102,2.4239,0.187,0.69,0.735,0.165
8,0.74,0.23,NO,N/A,1087.0%,80.58%,180.61%,56.89%,95.44,0.6934,2.4839,0.182,0.701,0.741,0.14
9,0.67,-0.31,NO,N/A,1179.0%,80.48%,179.86%,56.22%,95.74,0.6847,2.4739,0.178,0.707,0.749,0.136
10,0.61,-0.31,NO,N/A,1423.0%,78.71%,180.54%,55.63%,95.28,0.6714,2.4778,0.174,0.696,0.755,0.147
11,0.54,-0.35,NO,N/A,1984.0%,78.32%,178.89%,55.13%,94.83,0.6634,2.4581,0.169,0.683,0.762,0.174
12,0.49,-0.28,NO,N/A,2184.0%,77.55%,179.21%,54.02%,94.57,0.6564,2.4267,0.164,0.675,0.77,0.188
13,0.46,-0.22,NO,N/A,2058.0%,75.96%,179.16%,52.31%,94.57,0.6465,2.439,0.154,0.675,0.783,0.187
